setting,label,turkish,espresso,aeropress,moka_pot,drip_coffee_maker,siphon,pour_over,french_press
175,4-3-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
176,4-4-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
177,4-4-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
178,4-4-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
179,4-4-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
180,4-5-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
181,4-5-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
182,4-5-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
183,4-5-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
184,4-6-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
185,4-6-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
186,4-6-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
187,4-6-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
188,4-7-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
189,4-7-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
190,4-7-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
191,4-7-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
192,4-8-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
193,4-8-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
194,4-8-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
195,4-8-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
196,4-9-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
197,4-9-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
198,4-9-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
199,4-9-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
200,5-0-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
